"","worker_id","group","round","round_bonus","round_timespent","round_accuracy","round_screener","CQ1","CQ2","CQ3","CQ4","CQ5"
"1","A3VVS6KT8DSBO","CCC","one",0,"175.772","0.941176470588235","1","around half","1","Maybe","0 to 10","No"
"2","A1JF9ZNXWK5QZU","CCC","one",0,"521.19","0.941176470588235","1","a lot more than half","2","Yes","21 to 30","Yes"
"3","A2QRVXWQ8NOCZH","CCC","one",0,"75.138","0.823529411764706","1","a lot more than half","2","Yes","41 or more","No"
"4","AP02XE897TMR5","CCC","one",0,"351.282","0.647058823529412","1","a lot less than half","1","Maybe","41 or more","Yes"
"5","A2T01LQBGRSCDF","CCC","one",0,"270.422","0.764705882352941","1","a lot more than half","2","Yes","21 to 30","Yes"
"6","A2MS0L8NYOH7HJ","CCC","one",0,"242.089","0.470588235294118","1","around half","3","Yes","21 to 30","Yes"
"7","A22KRF782ELLB0","CCC","one",0,"140.865","0.705882352941177","1","around half","2","Yes","41 or more","No"
"8","A28BFHHHF6Y57M","CCC","one",0,"538.35","0.882352941176471","1","a lot more than half","1","No","31 to 40","Yes"
"9","A2C27YTQSQ1GXS","CCC","one",0,"79.417","0.470588235294118","1","a lot less than half","2","Yes","31 to 40","No"
"10","A8KDSIY4KBYR4","CCC","one",0,"168.295","0.882352941176471","1","around half","2","Yes","41 or more","No"
"11","A1FBHWI0K8SGQA","CCC","one",0,"297.524","0.647058823529412","1","around half","1","Yes","41 or more","No"
"12","A2O4UAS8AXZ5A9","CCC","one",0,"196.589","0.470588235294118","1","a lot less than half","2","Yes","0 to 10","Yes"
"13","A3623K4YKQ42R9","CCC","one",0,"26.619","0.0588235294117647","0","around half","3","Maybe","0 to 10","Yes"
"14","A3C9KXG5SJST07","CCC","one",0,"96.532","0.941176470588235","1","around half","3","Yes","41 or more","Yes"
"15","A28JGET2XTPRG5","CCT","one",0,"165.228","0.941176470588235","1","around half","1","Yes","0 to 10","No"
"16","APGP18KT9QZB6","CCT","one",0,"97.405","0.823529411764706","1","around half","2","Yes","31 to 40","No"
"17","A4RZPIOYNDL7M","CCT","one",0,"205.482","0.764705882352941","1","a lot more than half","2","Yes","11 to 20","Yes"
"18","A3IJLBGQ24LNJA","CCT","one",0,"126.665","0.588235294117647","1","a lot more than half","3","Yes","41 or more","Yes"
"19","A6S8LIDH79N0O","CCT","one",0,"96.485","0.117647058823529","1","around half","4","Yes","21 to 30","Yes"
"20","A1565BNEK1R86W","CCT","one",0,"144.361","0.823529411764706","1","around half","1","Yes","41 or more","Yes"
"21","A10U0UWBQ1OBZD","CCT","one",0,"187.118","0.941176470588235","1","a lot less than half","2","Yes","31 to 40","No"
"22","A2VNBZ7P595W77","CCT","one",0,"157.056","0.294117647058824","1","a lot less than half","1","Yes","31 to 40","Yes"
"23","A2C83KDE5MUZQP","CCT","one",0,"76.022","1","1","a lot more than half","2","Yes","31 to 40","No"
"24","A20SXG1DHDIDI7","CCT","one",0,"261.963","0.941176470588235","1","around half","2","Yes","41 or more","No"
"25","A1WNHGZ8S46T3C","CCT","one",0,"157.01","0.705882352941177","1","a lot more than half","3","Yes","41 or more","No"
"26","A3I5AH4959TUYF","CCT","one",0,"81.098","0.705882352941177","1","a lot more than half","3","Yes","41 or more","Yes"
"27","A42VJPPGH5SLM","CCT","one",0,"272.928","0.705882352941177","1","around half","3","Yes","41 or more","Yes"
"28","A16YVNUJMK1RNE","CCT","one",0,"104.983","0.764705882352941","1","around half","1","Maybe","21 to 30","Yes"
"29","A1B5YMVUL4HH67","CCT","one",0,"48.05","0.117647058823529","0","around half","3","Yes","21 to 30","Yes"
"30","A12E0YAXVLAJOW","CCT","one",0,"96.502","1","1","around half","2","Yes","21 to 30","No"
"31","A1NQW9H2DW4XDG","CTT","one",0,"345.528","0.764705882352941","1","around half","1","Yes","31 to 40","No"
"32","ALYEON3R1GFKV","CTT","one",0,"467.345","0.705882352941177","1","around half","1","Yes","41 or more","Yes"
"33","A2Z8V9A1E4N3ND","CTT","one",0,"98.109","0.764705882352941","1","a lot more than half","1","Yes","41 or more","Yes"
"34","ABB2CRBMKMKE8","CTT","one",0,"236.117","1","1","a lot less than half","2","No","11 to 20","Yes"
"35","A2HX5UVZC38SIB","CTT","one",0,"117.537","0.529411764705882","1","a lot less than half","2","No","21 to 30","Yes"
"36","A3JXZ60HKXKCBI","CTT","one",0,"124.11","0.764705882352941","1","around half","1","Yes","41 or more","No"
"37","A1D6U8UNEELO45","CTT","one",0,"119.764","0.0588235294117647","1","a lot less than half","2","Yes","11 to 20","Yes"
"38","ATX7JIFSG266H","CTT","one",0,"788.984","0.764705882352941","1","a lot more than half","3","Yes","21 to 30","Yes"
"39","AEEKWT5AAPPWV","CTT","one",0,"223.027","1","1","around half","2","Maybe","0 to 10","Yes"
"40","A32IS852XM3D17","CTT","one",0,"5.379","0.0588235294117647","0","around half","1","Yes","41 or more","No"
"41","A2G0HRT8HS9HRZ","CTT","one",0,"188.07","0.882352941176471","1","a lot less than half","1","Yes","31 to 40","No"
"42","AVL5BZZ3X3S4B","CTT","one",0,"149.211","0.588235294117647","1","around half","1","Yes","41 or more","Yes"
"43","A3BUKQ7ZGNS3UU","CTT","one",0,"270.292","0.588235294117647","1","a lot less than half","2","No","21 to 30","Yes"
"44","A1WUZOLVPEXOLE","CTT","one",0,"72.314","0.176470588235294","1","around half","2","Yes","21 to 30","No"
"45","A3R9YS8IZH91T0","CTT","one",0,"151.307","0.941176470588235","1","around half","2","Yes","21 to 30","No"
"46","A2EARNRMFJOSIY","CTT","one",0,"213.629","0.941176470588235","1","around half","1","Maybe","11 to 20","No"
"47","AW7RJ863Q6RTT","TTT","one",1,"108.922","0.882352941176471","1","a lot less than half","1","No","11 to 20","No"
"48","A1KK28XXMM8KEL","TTT","one",1,"138.306","0.882352941176471","1","a lot more than half","1","Yes","41 or more","No"
"49","A261Z8XC482AL8","TTT","one",1,"142.652","1","1","around half","2","Yes","21 to 30","Never heard of Linkedin"
"50","A2S7VNHIFDGS3V","TTT","one",1,"80.722","0.588235294117647","1","a lot more than half","3","No","21 to 30","No"
"51","A27GK6AHDNFW5Y","TTT","one",1,"98.189","0.588235294117647","1","a lot more than half","4","Yes","41 or more","Yes"
"52","A2J36LBPMKR1KO","TTT","one",1,"77.678","0.823529411764706","1","around half","2","Yes","41 or more","Yes"
"53","A374YV9KCIQNCC","TTT","one",1,"63.298","0.176470588235294","1","around half","3","Yes","0 to 10","Yes"
"54","A2HR7ZIX42FEPG","TTT","one",1,"97.341","1","1","around half","2","Yes","41 or more","No"
"55","A2FUAVWYRMIU6S","TTT","one",1,"109.588","0.470588235294118","0","around half","3","No","21 to 30","Yes"
"56","A25WYUL9BURZAH","TTT","one",1,"215.703","0.941176470588235","1","around half","2","Yes","11 to 20","Yes"
"57","A2Z8SR1UU09HO5","TTT","one",1,"144.259","0.823529411764706","1","a lot more than half","3","Yes","21 to 30","Yes"
"58","A22Z03NU5RN6AZ","TTT","one",1,"456.561","0.941176470588235","1","a lot more than half","2","Yes","41 or more","No"
"59","A1A6UVH1CCP8CD","TTT","one",1,"125.152","0.823529411764706","1","around half","2","Yes","41 or more","No"
"60","A3VVS6KT8DSBO","CCC","two",0,"137.263","0.823529411764706","1","around half","1","Maybe","0 to 10","No"
"61","A1JF9ZNXWK5QZU","CCC","two",0,"362.817","0.941176470588235","1","a lot more than half","2","Yes","21 to 30","Yes"
"62","A2QRVXWQ8NOCZH","CCC","two",0,"66.926","0.941176470588235","1","a lot more than half","2","Yes","41 or more","No"
"63","AP02XE897TMR5","CCC","two",0,"190.815","0.588235294117647","1","a lot less than half","1","Maybe","41 or more","Yes"
"64","A2T01LQBGRSCDF","CCC","two",0,"152.63","0.588235294117647","1","a lot more than half","2","Yes","21 to 30","Yes"
"65","A2MS0L8NYOH7HJ","CCC","two",0,"56.611","0.294117647058824","1","around half","3","Yes","21 to 30","Yes"
"66","A22KRF782ELLB0","CCC","two",0,"150.568","0.647058823529412","1","around half","2","Yes","41 or more","No"
"67","A28BFHHHF6Y57M","CCC","two",0,"92.378","0.882352941176471","1","a lot more than half","1","No","31 to 40","Yes"
"68","A2C27YTQSQ1GXS","CCC","two",0,"62.842","0.529411764705882","1","a lot less than half","2","Yes","31 to 40","No"
"69","A8KDSIY4KBYR4","CCC","two",0,"85.862","0.882352941176471","1","around half","2","Yes","41 or more","No"
"70","A1FBHWI0K8SGQA","CCC","two",0,"224.153","0.705882352941177","1","around half","1","Yes","41 or more","No"
"71","A2O4UAS8AXZ5A9","CCC","two",0,"141.04","0.882352941176471","1","a lot less than half","2","Yes","0 to 10","Yes"
"72","A3623K4YKQ42R9","CCC","two",0,"24.737","0.176470588235294","0","around half","3","Maybe","0 to 10","Yes"
"73","A3C9KXG5SJST07","CCC","two",0,"82.101","0.764705882352941","1","around half","3","Yes","41 or more","Yes"
"74","A28JGET2XTPRG5","CCT","two",0,"136.04","0.882352941176471","1","around half","1","Yes","0 to 10","No"
"75","APGP18KT9QZB6","CCT","two",0,"52.925","0.823529411764706","1","around half","2","Yes","31 to 40","No"
"76","A4RZPIOYNDL7M","CCT","two",0,"109.993","0.705882352941177","1","a lot more than half","2","Yes","11 to 20","Yes"
"77","A3IJLBGQ24LNJA","CCT","two",0,"120.841","0.647058823529412","1","a lot more than half","3","Yes","41 or more","Yes"
"78","A6S8LIDH79N0O","CCT","two",0,"68.723","0.529411764705882","1","around half","4","Yes","21 to 30","Yes"
"79","A1565BNEK1R86W","CCT","two",0,"93.44","0.705882352941177","1","around half","1","Yes","41 or more","Yes"
"80","A10U0UWBQ1OBZD","CCT","two",0,"213.355","0.941176470588235","1","a lot less than half","2","Yes","31 to 40","No"
"81","A2VNBZ7P595W77","CCT","two",0,"101.332","0.411764705882353","1","a lot less than half","1","Yes","31 to 40","Yes"
"82","A2C83KDE5MUZQP","CCT","two",0,"53.334","0.882352941176471","1","a lot more than half","2","Yes","31 to 40","No"
"83","A20SXG1DHDIDI7","CCT","two",0,"264.957","0.882352941176471","1","around half","2","Yes","41 or more","No"
"84","A1WNHGZ8S46T3C","CCT","two",0,"108.166","0.764705882352941","1","a lot more than half","3","Yes","41 or more","No"
"85","A3I5AH4959TUYF","CCT","two",0,"81.427","0.705882352941177","1","a lot more than half","3","Yes","41 or more","Yes"
"86","A42VJPPGH5SLM","CCT","two",0,"69.441","0.588235294117647","1","around half","3","Yes","41 or more","Yes"
"87","A16YVNUJMK1RNE","CCT","two",0,"76.782","1","1","around half","1","Maybe","21 to 30","Yes"
"88","A1B5YMVUL4HH67","CCT","two",0,"46.938","0.117647058823529","0","around half","3","Yes","21 to 30","Yes"
"89","A12E0YAXVLAJOW","CCT","two",0,"118.516","0.941176470588235","1","around half","2","Yes","21 to 30","No"
"90","A1NQW9H2DW4XDG","CTT","two",1,"158.018","0.823529411764706","1","around half","1","Yes","31 to 40","No"
"91","ALYEON3R1GFKV","CTT","two",1,"474.056","0.529411764705882","1","around half","1","Yes","41 or more","Yes"
"92","A2Z8V9A1E4N3ND","CTT","two",1,"66.177","0.411764705882353","1","a lot more than half","1","Yes","41 or more","Yes"
"93","ABB2CRBMKMKE8","CTT","two",1,"261.84","0.882352941176471","1","a lot less than half","2","No","11 to 20","Yes"
"94","A2HX5UVZC38SIB","CTT","two",1,"86.361","0.705882352941177","1","a lot less than half","2","No","21 to 30","Yes"
"95","A3JXZ60HKXKCBI","CTT","two",1,"92.489","0.764705882352941","1","around half","1","Yes","41 or more","No"
"96","A1D6U8UNEELO45","CTT","two",1,"102.46","0.176470588235294","1","a lot less than half","2","Yes","11 to 20","Yes"
"97","ATX7JIFSG266H","CTT","two",1,"363.026","0.882352941176471","1","a lot more than half","3","Yes","21 to 30","Yes"
"98","AEEKWT5AAPPWV","CTT","two",1,"137.223","1","1","around half","2","Maybe","0 to 10","Yes"
"99","A32IS852XM3D17","CTT","two",1,"20.469","0.294117647058824","1","around half","1","Yes","41 or more","No"
"100","A2G0HRT8HS9HRZ","CTT","two",1,"146.597","0.764705882352941","1","a lot less than half","1","Yes","31 to 40","No"
"101","AVL5BZZ3X3S4B","CTT","two",1,"99.427","0.764705882352941","1","around half","1","Yes","41 or more","Yes"
"102","A3BUKQ7ZGNS3UU","CTT","two",1,"128.074","0.647058823529412","1","a lot less than half","2","No","21 to 30","Yes"
"103","A1WUZOLVPEXOLE","CTT","two",1,"38.271","0.117647058823529","1","around half","2","Yes","21 to 30","No"
"104","A3R9YS8IZH91T0","CTT","two",1,"120.521","1","1","around half","2","Yes","21 to 30","No"
"105","A2EARNRMFJOSIY","CTT","two",1,"198.578","0.647058823529412","1","around half","1","Maybe","11 to 20","No"
"106","AW7RJ863Q6RTT","TTT","two",1,"63.141","0.764705882352941","1","a lot less than half","1","No","11 to 20","No"
"107","A1KK28XXMM8KEL","TTT","two",1,"105.546","0.882352941176471","1","a lot more than half","1","Yes","41 or more","No"
"108","A261Z8XC482AL8","TTT","two",1,"117.714","0.882352941176471","1","around half","2","Yes","21 to 30","Never heard of Linkedin"
"109","A2S7VNHIFDGS3V","TTT","two",1,"105.022","0.529411764705882","1","a lot more than half","3","No","21 to 30","No"
"110","A27GK6AHDNFW5Y","TTT","two",1,"49.387","0.764705882352941","1","a lot more than half","4","Yes","41 or more","Yes"
"111","A2J36LBPMKR1KO","TTT","two",1,"68.214","0.764705882352941","1","around half","2","Yes","41 or more","Yes"
"112","A374YV9KCIQNCC","TTT","two",1,"46.49","0.235294117647059","1","around half","3","Yes","0 to 10","Yes"
"113","A2HR7ZIX42FEPG","TTT","two",1,"56.111","0.764705882352941","1","around half","2","Yes","41 or more","No"
"114","A2FUAVWYRMIU6S","TTT","two",1,"76.096","0.411764705882353","0","around half","3","No","21 to 30","Yes"
"115","A25WYUL9BURZAH","TTT","two",1,"133.67","0.823529411764706","1","around half","2","Yes","11 to 20","Yes"
"116","A2Z8SR1UU09HO5","TTT","two",1,"132.725","0.882352941176471","1","a lot more than half","3","Yes","21 to 30","Yes"
"117","A22Z03NU5RN6AZ","TTT","two",1,"102.123","0.941176470588235","1","a lot more than half","2","Yes","41 or more","No"
"118","A1A6UVH1CCP8CD","TTT","two",1,"88.159","0.882352941176471","1","around half","2","Yes","41 or more","No"
"119","A3VVS6KT8DSBO","CCC","three",0,"78.5","0.882352941176471","1","around half","1","Maybe","0 to 10","No"
"120","A1JF9ZNXWK5QZU","CCC","three",0,"220.143","0.647058823529412","1","a lot more than half","2","Yes","21 to 30","Yes"
"121","A2QRVXWQ8NOCZH","CCC","three",0,"59.94","0.764705882352941","1","a lot more than half","2","Yes","41 or more","No"
"122","AP02XE897TMR5","CCC","three",0,"150.222","0.823529411764706","1","a lot less than half","1","Maybe","41 or more","Yes"
"123","A2T01LQBGRSCDF","CCC","three",0,"143.927","0.588235294117647","1","a lot more than half","2","Yes","21 to 30","Yes"
"124","A2MS0L8NYOH7HJ","CCC","three",0,"31.221","0.294117647058824","1","around half","3","Yes","21 to 30","Yes"
"125","A22KRF782ELLB0","CCC","three",0,"98.225","0.823529411764706","1","around half","2","Yes","41 or more","No"
"126","A28BFHHHF6Y57M","CCC","three",0,"84.251","0.764705882352941","1","a lot more than half","1","No","31 to 40","Yes"
"127","A2C27YTQSQ1GXS","CCC","three",0,"160.415","0.705882352941177","1","a lot less than half","2","Yes","31 to 40","No"
"128","A8KDSIY4KBYR4","CCC","three",0,"85.394","0.823529411764706","1","around half","2","Yes","41 or more","No"
"129","A1FBHWI0K8SGQA","CCC","three",0,"141.981","0.705882352941177","1","around half","1","Yes","41 or more","No"
"130","A2O4UAS8AXZ5A9","CCC","three",0,"110.307","0.588235294117647","1","a lot less than half","2","Yes","0 to 10","Yes"
"131","A3623K4YKQ42R9","CCC","three",0,"19.109","0.117647058823529","0","around half","3","Maybe","0 to 10","Yes"
"132","A3C9KXG5SJST07","CCC","three",0,"60.914","0.764705882352941","1","around half","3","Yes","41 or more","Yes"
"133","A28JGET2XTPRG5","CCT","three",1,"79.527","0.882352941176471","1","around half","1","Yes","0 to 10","No"
"134","APGP18KT9QZB6","CCT","three",1,"52.338","0.941176470588235","1","around half","2","Yes","31 to 40","No"
"135","A4RZPIOYNDL7M","CCT","three",1,"75.823","0.823529411764706","1","a lot more than half","2","Yes","11 to 20","Yes"
"136","A3IJLBGQ24LNJA","CCT","three",1,"115.129","0.705882352941177","1","a lot more than half","3","Yes","41 or more","Yes"
"137","A6S8LIDH79N0O","CCT","three",1,"77.148","0.529411764705882","1","around half","4","Yes","21 to 30","Yes"
"138","A1565BNEK1R86W","CCT","three",1,"70.422","0.764705882352941","1","around half","1","Yes","41 or more","Yes"
"139","A10U0UWBQ1OBZD","CCT","three",1,"165.36","0.941176470588235","1","a lot less than half","2","Yes","31 to 40","No"
"140","A2VNBZ7P595W77","CCT","three",1,"56.131","0.647058823529412","1","a lot less than half","1","Yes","31 to 40","Yes"
"141","A2C83KDE5MUZQP","CCT","three",1,"52.295","0.882352941176471","1","a lot more than half","2","Yes","31 to 40","No"
"142","A20SXG1DHDIDI7","CCT","three",1,"156.675","0.823529411764706","1","around half","2","Yes","41 or more","No"
"143","A1WNHGZ8S46T3C","CCT","three",1,"94.229","0.882352941176471","1","a lot more than half","3","Yes","41 or more","No"
"144","A3I5AH4959TUYF","CCT","three",1,"81.036","0.823529411764706","1","a lot more than half","3","Yes","41 or more","Yes"
"145","A42VJPPGH5SLM","CCT","three",1,"46.98","0.705882352941177","1","around half","3","Yes","41 or more","Yes"
"146","A16YVNUJMK1RNE","CCT","three",1,"66.61","0.882352941176471","1","around half","1","Maybe","21 to 30","Yes"
"147","A1B5YMVUL4HH67","CCT","three",1,"42.495","0.0588235294117647","0","around half","3","Yes","21 to 30","Yes"
"148","A12E0YAXVLAJOW","CCT","three",1,"100.542","0.941176470588235","1","around half","2","Yes","21 to 30","No"
"149","A1NQW9H2DW4XDG","CTT","three",1,"118.008","0.705882352941177","1","around half","1","Yes","31 to 40","No"
"150","ALYEON3R1GFKV","CTT","three",1,"87.704","0.647058823529412","1","around half","1","Yes","41 or more","Yes"
"151","A2Z8V9A1E4N3ND","CTT","three",1,"59.948","0.588235294117647","1","a lot more than half","1","Yes","41 or more","Yes"
"152","ABB2CRBMKMKE8","CTT","three",1,"313.332","0.882352941176471","1","a lot less than half","2","No","11 to 20","Yes"
"153","A2HX5UVZC38SIB","CTT","three",1,"75.928","0.705882352941177","1","a lot less than half","2","No","21 to 30","Yes"
"154","A3JXZ60HKXKCBI","CTT","three",1,"80.111","0.941176470588235","1","around half","1","Yes","41 or more","No"
"155","A1D6U8UNEELO45","CTT","three",1,"86.141","0.235294117647059","1","a lot less than half","2","Yes","11 to 20","Yes"
"156","ATX7JIFSG266H","CTT","three",1,"164.01","0.705882352941177","1","a lot more than half","3","Yes","21 to 30","Yes"
"157","AEEKWT5AAPPWV","CTT","three",1,"279.272","0.941176470588235","1","around half","2","Maybe","0 to 10","Yes"
"158","A32IS852XM3D17","CTT","three",1,"5.153","0.176470588235294","0","around half","1","Yes","41 or more","No"
"159","A2G0HRT8HS9HRZ","CTT","three",1,"94.268","0.764705882352941","1","a lot less than half","1","Yes","31 to 40","No"
"160","AVL5BZZ3X3S4B","CTT","three",1,"69.185","0.882352941176471","1","around half","1","Yes","41 or more","Yes"
"161","A3BUKQ7ZGNS3UU","CTT","three",1,"132.368","0.823529411764706","1","a lot less than half","2","No","21 to 30","Yes"
"162","A1WUZOLVPEXOLE","CTT","three",1,"34.653","0.176470588235294","1","around half","2","Yes","21 to 30","No"
"163","A3R9YS8IZH91T0","CTT","three",1,"106.397","0.823529411764706","1","around half","2","Yes","21 to 30","No"
"164","A2EARNRMFJOSIY","CTT","three",1,"99.943","0.882352941176471","1","around half","1","Maybe","11 to 20","No"
"165","AW7RJ863Q6RTT","TTT","three",1,"38.461","0.941176470588235","1","a lot less than half","1","No","11 to 20","No"
"166","A1KK28XXMM8KEL","TTT","three",1,"95.419","0.941176470588235","1","a lot more than half","1","Yes","41 or more","No"
"167","A261Z8XC482AL8","TTT","three",1,"83.82","0.941176470588235","1","around half","2","Yes","21 to 30","Never heard of Linkedin"
"168","A2S7VNHIFDGS3V","TTT","three",1,"55.453","0.588235294117647","1","a lot more than half","3","No","21 to 30","No"
"169","A27GK6AHDNFW5Y","TTT","three",1,"46.23","0.764705882352941","1","a lot more than half","4","Yes","41 or more","Yes"
"170","A2J36LBPMKR1KO","TTT","three",1,"49.381","0.823529411764706","1","around half","2","Yes","41 or more","Yes"
"171","A374YV9KCIQNCC","TTT","three",1,"50.279","0.235294117647059","1","around half","3","Yes","0 to 10","Yes"
"172","A2HR7ZIX42FEPG","TTT","three",1,"44.356","0.823529411764706","1","around half","2","Yes","41 or more","No"
"173","A2FUAVWYRMIU6S","TTT","three",1,"72.35","0.529411764705882","1","around half","3","No","21 to 30","Yes"
"174","A25WYUL9BURZAH","TTT","three",1,"97.838","0.941176470588235","1","around half","2","Yes","11 to 20","Yes"
"175","A2Z8SR1UU09HO5","TTT","three",1,"82.605","0.882352941176471","1","a lot more than half","3","Yes","21 to 30","Yes"
"176","A22Z03NU5RN6AZ","TTT","three",1,"69.761","0.941176470588235","1","a lot more than half","2","Yes","41 or more","No"
"177","A1A6UVH1CCP8CD","TTT","three",1,"102.885","0.941176470588235","1","around half","2","Yes","41 or more","No"
